Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
Carolingi,5.552,7.41,63,N/A,2024,2.9,2,6,60,180,12,N/A,N/A
Linkto Food,5.552,6.3,188,4.99,2018,1.4,1,10,30,45,10,N/A,N/A
A Song of Ice & Fire: Tabletop Miniatures Game – Baratheon Starter Set,5.552,8.6,50,72.61,2019,3.0,2,2,45,60,14,Wargames,N/A
Space Marine Adventures: Doomsday Countdown,5.552,7.18,89,N/A,2021,2.0,1,3,30,60,12,N/A,N/A
Tute,5.552,6.86,86,N/A,N/A,2.2,2,4,20,20,10,N/A,N/A
13 Leaves,5.551,6.81,90,N/A,2025,1.33,3,6,20,20,8,N/A,N/A
Suspense: the Card Game,5.551,6.4,159,N/A,2013,1.75,3,3,15,15,12,N/A,N/A
Saganami Island Tactical Simulator,5.551,6.86,105,N/A,2005,4.3,2,8,120,120,12,Wargames,N/A
1894,5.551,8.08,45,N/A,2023,4.0,3,4,150,240,N/A,N/A,N/A
111: Alarm dla Warszawy,5.551,6.37,147,N/A,2013,1.69,2,2,30,30,10,Wargames,N/A
Liebe & Intrige,5.551,6.05,272,N/A,2007,1.79,2,4,45,45,10,Family,N/A
Race For Tunis,5.551,6.6,123,N/A,1992,2.45,2,2,120,120,12,Wargames,N/A
Great War at Sea: Cruiser Warfare,5.551,6.66,106,N/A,2004,2.65,2,4,30,30,12,Wargames,N/A
Tal der Abenteuer: Die Schatzsuche im Himalaja,5.551,5.86,368,N/A,2006,1.6,2,4,45,45,8,Family,N/A
Basketball Highlights: Crunch Time,5.551,7.08,94,N/A,2023,2.0,1,2,20,30,14,N/A,N/A
Rory's Story Cubes: Score,5.551,6.53,121,N/A,2014,0.0,1,10,20,20,6,N/A,N/A
Saigo no Kane,5.551,6.45,135,N/A,2008,3.08,2,4,60,60,12,N/A,N/A
Roll & Play,5.551,6.68,104,N/A,2012,1.0,2,2,5,5,1,Children's,N/A
Paratroop,5.551,6.19,225,N/A,1979,2.21,2,2,120,120,12,Wargames,N/A
Kendo,5.551,6.07,219,N/A,1976,2.39,2,4,30,30,10,Abstract,N/A
Converge: Sparks of Hope,5.551,7.7,57,N/A,2023,1.67,2,2,30,30,8,N/A,N/A
Sweet Spot,5.551,6.92,98,25.0,2017,1.5,1,4,20,45,10,Strategy,N/A
Dirigible Disaster,5.551,7.03,104,N/A,2013,1.83,2,5,20,40,8,Family,N/A
Internal Affairs,5.551,6.4,170,N/A,2015,1.83,2,8,20,35,8,N/A,N/A
Ghooost!,5.551,5.69,1135,N/A,2013,1.39,2,6,20,20,8,Family,N/A
Guerrilla Checkers,5.551,7.53,67,N/A,2010,2.0,2,2,10,30,8,Abstract,N/A
Hagakure,5.551,6.18,198,N/A,2020,1.13,3,5,25,25,10,N/A,N/A
Nuts a GoGo!,5.551,6.32,147,N/A,2021,0.0,2,5,10,30,6,N/A,N/A
"The Last Gamble: The Ardennes Offensive, December 1944 – Designer Signature Edition",5.551,8.74,53,N/A,2024,4.2,1,4,180,4800,N/A,Wargames,N/A
Coup,5.551,6.28,157,N/A,1975,1.82,2,6,90,90,10,Family,Strategy
Story Time Chess,5.551,7.12,93,N/A,2019,1.4,2,2,10,10,3,N/A,N/A
Sellswords & Spellslingers,5.551,8.16,66,N/A,2018,2.0,1,6,30,120,10,Wargames,N/A
Cowboy Bebop: Boardgame Boogie,5.551,6.51,130,N/A,2019,2.5,1,4,60,90,14,N/A,N/A
"Interceptor Ace: Volume 2 – Last Days of the Luftwaffe, 1944-45",5.551,8.52,47,N/A,2023,3.5,1,1,120,180,12,Wargames,N/A
Legends of Novus,5.551,7.17,126,N/A,2019,1.78,1,5,45,90,12,N/A,N/A
Aquarium,5.551,7.42,67,N/A,2015,2.71,2,4,60,120,14,Strategy,N/A
Jackal: Treasure Island,5.551,6.29,249,N/A,2011,1.25,2,4,45,45,N/A,N/A,N/A
Animal Upon Animal: Unicorns,5.551,6.76,93,N/A,2020,1.0,1,4,15,15,4,N/A,N/A
World War I: Deluxe Edition,5.551,7.6,63,N/A,2015,2.67,2,2,180,240,13,Wargames,N/A
Badlands: Outpost of Humanity,5.551,6.61,191,N/A,2017,2.56,2,4,60,120,14,Strategy,Thematic
Death of an Army: Ypres 1914,5.551,8.26,52,N/A,2022,2.86,2,2,240,600,14,Wargames,N/A
Costa Ruana,5.551,6.26,181,N/A,2014,2.0,2,6,20,60,8,N/A,N/A
Conqueror: Final Conquest,5.551,8.27,90,N/A,2020,1.67,3,6,60,120,14,Strategy,Wargames
VITA MORS,5.551,6.75,113,N/A,2017,2.0,3,6,15,30,10,Party,N/A
Saustall,5.551,6.24,174,N/A,2010,2.23,2,4,45,45,10,Strategy,Thematic
Title Bout II,5.551,8.3,61,N/A,2017,2.67,1,2,45,45,10,N/A,N/A
Apples to Apples Junior,5.551,5.73,1245,44.99,2002,1.14,4,10,30,30,9,Children's,N/A
Greyhounds,5.551,6.36,142,N/A,1985,2.0,3,4,90,90,14,N/A,N/A
Space Weirdos: A Skirmish Heartbreaker,5.551,8.45,49,N/A,2021,2.0,2,8,20,90,8,Wargames,N/A
The Key: Escape from Strongwall Prison,5.551,7.24,72,N/A,2022,2.33,1,4,45,45,12,N/A,N/A
ECK: A solo trick-taking card game,5.551,6.41,148,N/A,2020,1.43,1,1,15,30,8,N/A,N/A
Banned Books,5.551,6.29,161,N/A,2018,1.83,1,1,15,30,12,N/A,N/A
Woolfy,5.551,6.5,143,N/A,2009,1.2,1,4,20,20,4,N/A,N/A
The Elder Scrolls: Call to Arms,5.551,7.04,115,21.99,2019,4.0,1,2,60,120,14,Wargames,N/A
"A Greater Victory: South Mountain, September 14, 1862",5.551,8.6,40,N/A,2022,3.33,1,2,120,480,14,Wargames,N/A
Time's Up! Family Edition,5.551,8.26,42,N/A,2024,1.0,3,99,60,60,8,N/A,N/A
Sub Search,5.551,5.88,370,N/A,1973,1.46,2,2,45,45,10,Family,N/A
The Hobbit: An Unexpected Journey Strategy Battle Game,5.551,7.42,67,N/A,2012,3.0,2,N/A,30,30,12,Wargames,N/A
Collapsible D: The Final Minutes of the Titanic,5.551,6.67,134,N/A,2012,2.08,3,6,30,30,12,Thematic,N/A
Incubation,5.551,6.21,195,N/A,2019,1.14,2,5,30,40,8,N/A,N/A
Pungi,5.551,6.22,174,N/A,2017,1.17,3,5,20,20,8,N/A,N/A
Knockabout,5.551,6.71,99,N/A,2001,2.56,2,2,20,20,10,Abstract,N/A
Athlas: Duel for Divinity,5.551,6.39,150,N/A,2014,3.75,2,2,45,60,12,Strategy,N/A
Thingstead,5.551,6.98,86,N/A,2024,2.0,2,2,30,45,10,N/A,N/A
Moods,5.551,5.88,458,99.98,2000,1.13,3,8,20,20,18,Party,N/A
Ronin: Skirmish Wargames in the Age of the Samurai,5.551,7.29,87,N/A,2013,2.25,2,2,N/A,N/A,12,Wargames,N/A
Ambar,5.551,6.64,124,N/A,2018,2.0,2,4,35,45,10,N/A,N/A
Polis,5.551,6.52,141,N/A,2017,2.67,3,5,60,60,12,N/A,N/A
Shenandoah: Jackson's Valley Campaign,5.551,6.98,87,N/A,2011,2.5,2,2,120,180,12,Wargames,N/A
Beetle to the Bubble,5.551,7.13,88,N/A,2022,2.0,2,5,10,30,8,N/A,N/A
Star Fleet Battles Cadet Training Manual,5.551,7.39,74,N/A,1992,3.22,1,2,30,30,12,Wargames,N/A
Star Frontiers: Knight Hawks,5.551,6.4,162,N/A,1983,2.7,2,2,60,60,12,Wargames,N/A
Star Wars Death Star Perplexus,5.551,7.26,66,N/A,2015,1.67,1,1,N/A,N/A,8,N/A,N/A
Bali,5.551,6.05,252,N/A,2001,2.78,3,4,60,60,12,N/A,N/A
Isle of Monsters,5.551,6.18,212,N/A,2017,1.63,2,5,20,45,10,N/A,N/A
"Afrikakorps: Decision in the Desert, 1941-42",5.551,7.37,69,N/A,2010,2.38,1,2,240,240,12,Wargames,N/A
"The Punic Wars: Rome vs Carthage, 264-146 B.C.",5.551,6.21,190,N/A,1975,2.42,2,2,60,60,12,Wargames,N/A
Gamer Over! A Game Fair Murder Mystery,5.551,7.33,65,N/A,2017,0.0,7,8,120,180,12,N/A,N/A
Vorpals,5.551,7.08,76,N/A,2010,2.0,2,5,30,30,12,N/A,N/A
Deadlines,5.551,6.8,110,13.98,2020,1.0,1,10,15,30,12,N/A,N/A
Go Gecko Go!,5.551,6.41,127,N/A,2019,2.0,2,4,20,20,6,Children's,N/A
Bataan!,5.551,7.51,71,N/A,2010,3.88,1,2,120,1200,12,Wargames,N/A
Cornish Smuggler,5.551,5.89,548,N/A,2013,3.2,2,5,120,120,13,Strategy,Thematic
Ascari: African Battles of the Italian Army 1890-1895,5.551,7.4,63,N/A,2012,2.45,2,2,60,60,10,Wargames,N/A
Zodiac Duel,5.551,7.55,95,N/A,2022,2.0,2,2,15,15,10,N/A,N/A
Charty Party,5.551,5.94,384,N/A,2019,1.18,3,8,30,90,17,Party,N/A
Hougoumont: Rock of Waterloo,5.551,6.6,119,N/A,1991,2.6,2,2,120,120,12,Wargames,N/A
Pennsylvania Railroad,5.551,7.69,53,N/A,2019,3.0,3,6,90,150,21,N/A,N/A
Left Right Dilemma,5.551,5.96,277,N/A,2022,1.0,3,6,30,30,18,N/A,N/A
Snapshot,5.551,6.28,162,N/A,1979,2.21,2,2,60,60,12,Wargames,N/A
ADAPTOID 24,5.551,6.79,96,N/A,2023,1.33,2,2,15,20,10,N/A,N/A
Happy Bee,5.551,6.66,98,21.33,2023,1.33,3,6,15,15,8,N/A,N/A
Vampire Village,5.551,6.58,128,N/A,2023,2.0,1,5,20,20,10,N/A,N/A
Sumo!,5.551,5.83,413,N/A,2000,1.26,2,2,20,20,12,Family,N/A
Hat-Trick,5.551,6.92,103,N/A,2014,2.75,2,2,40,40,14,N/A,N/A
Lucky Forward: Patton's Third Army in Lorraine,5.551,8.54,49,N/A,2020,4.0,2,2,N/A,N/A,N/A,Wargames,N/A
"The Battle of White Plains: Twilight of the New York Campaign October 28th–31st, 1776",5.551,7.9,50,N/A,2023,3.0,2,2,120,480,14,Wargames,N/A
Ostia: The Harbor of Rome,5.551,5.81,521,N/A,2005,2.49,3,5,60,60,12,Strategy,N/A
Fowl Play!,5.551,6.15,209,N/A,2006,2.41,2,4,60,60,10,Family,Strategy
The Icarus Club,5.551,6.8,89,N/A,2021,2.0,3,5,10,25,13,N/A,N/A
